Date,Description,Unit,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Day32,Day33,Day34,Day35
April-24,"BTG steam flow & DM make up
(Totalizer)",TG-1 (Steam Totalizer),18828460,18832422,18836420,18840402,18844280,18848190,18852048,18856016,18859972,18863954,18867986,18871874,18875696,18879550,18883454,18887436,18891398,18895350,18899312,18903256,18907176,18911136,18915104,18919116,18923122,18927126,18931220,18935266,18939268,18943274,,,-26150.63888888889,18588246,
April-24,"BTG steam flow & DM make up
(Totalizer)",TG-2 (Steam Totalizer),17826326,17830294,17834300,17838284,17842130,17845682,17849363,17853480,17857434,17861424,17865460,17869346,17873178,17877042,17880958,17884950,17888916,17892874,17896844,17900790,17904722,17908694,17912666,17916690,17920698,17924658,17928620,17932532,17936470,17940396,,,-24758.786111111112,17586616,
April-24,"BTG steam flow & DM make up
(Totalizer)",TG-3 (Steam Totalizer),11329291,11331966,11334584,11337253,11340022,11342624,11345330,11347974,11350607,11353228,11355877,11358541,11361209,11363905,11366593,11369357,11371959,11374574,11377209,11379886,11382551,11385193,11387804,11390449,11393155,11395872,11398611,11401302,11404018,11406730,,,-15735.126388888888,11167660,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  1-1 (Steam flow),3283933,3284651,3285381,3286112,3286840,3287418,3287919,3288499,3289171,3289848,3290550,3291293,3292003,3292729,3293453,3294164,3294903,3295611,3296314,3297040,3297738,3298461,3299165,3299860,3300575,3301289,3302006,3302730,3303430,3304159,,,-4561.018055555555,3240996,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  1-2 (Steam flow),3279691,3280395,3281120,3281856,3282573,3283175,3283694,3284289,3284954,3285637,3286343,3287067,3287779,3288486,3289217,3289924,3290644,3291367,3292063,3292790,3293490,3294202,3294911,3295602,3296319,3297042,3297740,3298472,3299180,3299895,,,-4555.126388888889,3236502,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  1-3 (Steam flow),3299962,3300648,3301354,3302060,3302769,3303355,3303879,3304474,3305125,3305794,3306497,3307203,3307911,3308632,3309345,3310042,3310763,3311468,3312172,3312870,3313561,3314267,3314954,3315651,3316361,3317068,3317769,3318447,3319096,3319773,,,-4583.280555555556,3257847,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  1-4 (Steam flow),3290904,3291590,3292276,3292960,3293617,3294139,3294672,3295268,3295906,3296561,3297252,3297934,3298629,3299325,3299997,3300677,3301367,3302032,3302712,3303377,3304060,3304740,3305392,3306085,3306771,3307440,3308112,3308773,3309421,3310081,,,-4570.7,3250589,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  2-3 (Steam flow),3193071,3193782,3194508,3195224,3195904,3196618,3197310,3198032,3198770,3199467,3200186,3200898,3201460,3202035,3202667,3203332,3204045,3204765,3205456,3206166,3206850,3207544,3208275,3208979,3209709,3210431,3211089,3211805,3212503,3213186,,,-4434.820833333333,3149916,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  2-4 (Steam flow),3136397,3137130,3137845,3138579,3139252,3139961,3140682,3141399,3142142,3142858,3143578,3144282,3144837,3145382,3145965,3146619,3147293,3148008,3148709,3149391,3150105,3150808,3151518,3152254,3152978,3153696,3154413,3155116,3155835,3156561,,,-4356.106944444445,3093083,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  3-1 (Steam flow),3070041,3070710,3071397,3072082,3072757,3073436,3074106,3074783,3075464,3076135,3076832,3077503,3078174,3078861,3079539,3080231,3080908,3081576,3082253,3082935,3083601,3084272,3084941,3085628,3086296,3086948,3087636,3088308,3088982,3089636,,,-4263.945833333333,3029592,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  3-2 (Steam flow),3108502,3109227,3109955,3110723,3111450,3112192,3112935,3113632,3114366,3115105,3115850,3116586,3117303,3118038,3118790,3119519,3120246,3120974,3121702,3122443,3123151,3123874,3124617,3125345,3126078,3126800,3127525,3128253,3128965,3129645,,,-4317.363888888889,3065960,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  3-3 (Steam flow),3193980,3194682,3195362,3196053,3196768,3197416,3198109,3198811,3199505,3200201,3200912,3201608,3202314,3203024,3203722,3204444,3205136,3205834,3206529,3207223,3207922,3208611,3209304,3210015,3210714,3211411,3212120,3212824,3213523,3214189,,,-4436.083333333333,3152106,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  3-4 (Steam flow),3165522,3166232,3166962,3167694,3168420,3169051,3169756,3170467,3171158,3171867,3172608,3173307,3174015,3174728,3175447,3176177,3176876,3177579,3178284,3178985,3179695,3180401,3181096,3181821,3182528,3183212,3183921,3184617,3185298,3185968,,,-4396.558333333333,3123478,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  2-1 (Steam flow),3250665,3251412,3252160,3252903,3253619,3254343,3255073,3255813,3256559,3257292,3258034,3258726,3259343,3259966,3260636,3261366,3262092,3262819,3263551,3264267,3264993,3265723,3266455,3267209,3267948,3268692,3269402,3270112,3270845,3271569,,,-4514.8125,3206200,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  2-2 (Steam flow),3071862,3072565,3073265,3073983,3074650,3075333,3076035,3076727,3077432,3078124,3078827,3079514,3080054,3080618,3081223,3081871,3082565,3083253,3083930,3084629,3085306,3086019,3086725,3087417,3088153,3088845,3089542,3090210,3090890,3091580,,,-4266.474999999999,3029265,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  4-1 (Steam flow),2992479,2993185,2993888,2994618,2995343,2996051,2996793,2997503,2998233,2998977,2999698,3000410,3001139,3001870,3002607,3003361,3004057,3004790,3005500,3006202,3006899,3007612,3008332,3009045,3009770,3010493,3011214,3011947,3012659,3013375,,,-4156.220833333334,2950450,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  4-2 (Steam flow),3096726,3097429,3098120,3098833,3099527,3100232,3100963,3101672,3102375,3103095,3103807,3104497,3105204,3105912,3106619,3107357,3108038,3108749,3109432,3110113,3110782,3111485,3112190,3112887,3113610,3114302,3115003,3115725,3116424,3117143,,,-4301.008333333333,3054888,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  4-3 (Steam flow),2977278,2977947,2978629,2979321,2980007,2980710,2981408,2982102,2982801,2983500,2984209,2984883,2985567,2986272,2986960,2987681,2988348,2989043,2989722,2990391,2991045,2991740,2992426,2993126,2993831,2994507,2995207,2995907,2996591,2997290,,,-4135.108333333334,2936150,
April-24,"BTG steam flow & DM make up
(Totalizer)",BOILER  4-4 (Steam flow),2954153,2954849,2955547,2956248,2956954,2957651,2958348,2959043,2959742,2960448,2961186,2961855,2962552,2963276,2963980,2964704,2965365,2966040,2966725,2967408,2968067,2968769,2969459,2970147,2970856,2971533,2972246,2972927,2973601,2974310,,,-4102.990277777778,2913120,
April-24,"BTG steam flow & DM make up
(Totalizer)",Unit-1 hotwell make up,1255548,1255567,1255576,1255613,1255659,1255740,1256016,1256114,1256197,1256266,1256276,1256420,1256663,1256920,1257175,1257438,1257626,1257818,1258036,1258280,1258529,1258712,1258807,1258854,1258895,1258924,1258956,1258980,1259051,1259117,,,-1743.8166666666666,1251206,
April-24,"BTG steam flow & DM make up
(Totalizer)",Unit-2 hotwell make up,1427912,1427931,1427936,1427975,1428108,1428242,1428255,1428349,1428402,1428529,1428543,1428575,1428577,1428580,1428603,1428635,1428679,1428810,1428906,1428958,1428966,1428971,1428992,1429036,1429046,1429086,1429185,1429224,1429364,1429469,,,-1983.211111111111,1424751,
April-24,"BTG steam flow & DM make up
(Totalizer)",Unit-3 hotwell make up,249008,249008,249009,249010,249016,249022,249023,249028,249030,249031,249032,249038,249039,249042,249048,249054,249057,249058,249060,249061,249065,249067,249069,249070,249072,249077,249079,249081,249082,249084,,,-345.84444444444443,246697,
April-24,"BTG steam flow & DM make up
(Totalizer)",Boiler fill pump flow,2093591,2094117,2094644,2095161,2095385,2095854,2096551,2097224,2097770,2098305,2098874,2099556,2100320,2101073,2101827,2102444,2102993,2103490,2103998,2104586,2105277,2105810,2106374,2106957,2107559,2108188,2108806,2109429,2110024,2110625,,,-2907.765277777778,2057406,
April-24,"BTG steam flow & DM make up
(Totalizer)",Unit-1 condensate flow,159003,161970,164999,168235,170904.1,173720,176664,179666,182682,185729,188793,191729,194662,197605,200615,203680,206767,209838.85,212915,215951,218972,222029,225047,228085,231138.32,234131,237173,234022,243264,246313,,,-220.8375,15613,
April-24,"BTG steam flow & DM make up
(Totalizer)",Unit-1 DM water flow,9521,9523,9524,9542,9559.0801,9599,9752,9800,9833,9862,9862.7051,9937,10069,10209,10352,10496,10596,10700.835,10819,10951,11088,11185,11232,11243,11249.888,11252,11262,11265,11293,11316,,,-13.223611111111111,7846,
April-24,"BTG steam flow & DM make up
(Totalizer)",Excess return to DM tank,253047,253461,253872,254316,254504,254948,255644,256235,256693,257139,257549,258162,258882,259604,260337,260951,261450,261886,262355,262888,263526,263983,264408,264846,265291,265761,266213,266668,267140,267610,,,-351.45416666666665,219407,
April-24,"TG steam flow &
DM make up (TPH)",TG-1 (TPH),3998,3962,3998,3982,3878,3910,3858,3968,3956,3982,4032,3888,3822,3854,3904,3982,3962,3952,3962,3944,3920,3960,3968,4012,4006,4004,4094,4046,4002,4006,,,165.01666666666668,3862,
April-24,"TG steam flow &
DM make up (TPH)",TG-2 (TPH),3996,3968,4006,3984,3846,3552,3681,4117,3954,3990,4036,3886,3832,3864,3916,3992,3966,3958,3970,3946,3932,3972,3972,4024,4008,3960,3962,3912,3938,3926,,,163.98055555555555,4000,
